"Cylinders","EngineSize","DriveWheels","FuelCostperYear","FuelType","Make","Model","Transmission","UCity","UHighway","VechileClass","Year","Guzzler"
4,2,"Rear-Wheel Drive",1900,"Regular Gasoline","Alfa Romeo","Spider Veloce 2000","Manual 5-spd",23.3333,35,"Two Seaters",1985,NA
12,4.9,"Rear-Wheel Drive",3600,"Regular Gasoline","Ferrari","Testarossa","Manual 5-spd",11,19,"Two Seaters",1985,TRUE
4,2.2,"Front-Wheel Drive",1450,"Regular Gasoline","Dodge","Charger","Manual 5-spd",29,47,"Subcompact Cars",1985,NA
8,5.2,"Rear-Wheel Drive",3600,"Regular Gasoline","Dodge","B150/B250 Wagon 2WD","Automatic 3-spd",12.2222,16.6667,"Vans",1985,NA
4,2.2,"4-Wheel or All-Wheel Drive",2500,"Premium Gasoline","Subaru","Legacy AWD Turbo","Manual 5-spd",21,32,"Compact Cars",1993,NA
4,1.8,"Front-Wheel Drive",1800,"Regular Gasoline","Subaru","Loyale","Automatic 3-spd",27,33,"Compact Cars",1993,NA
4,1.8,"Front-Wheel Drive",1600,"Regular Gasoline","Subaru","Loyale","Manual 5-spd",28,41,"Compact Cars",1993,NA
4,1.6,"Front-Wheel Drive",1650,"Regular Gasoline","Toyota","Corolla","Automatic 3-spd",29,37,"Compact Cars",1993,NA
4,1.6,"Front-Wheel Drive",1500,"Regular Gasoline","Toyota","Corolla","Manual 5-spd",30,43,"Compact Cars",1993,NA
4,1.8,"Front-Wheel Drive",1600,"Regular Gasoline","Toyota","Corolla","Automatic 4-spd",29,42,"Compact Cars",1993,NA
4,1.8,"Front-Wheel Drive",1500,"Regular Gasoline","Toyota","Corolla","Manual 5-spd",30,42.3077,"Compact Cars",1993,NA
4,2,"Front-Wheel Drive",1900,"Regular Gasoline","Volkswagen","Golf III / GTI","Automatic 4-spd",23,36,"Compact Cars",1993,NA
4,2,"Front-Wheel Drive",1650,"Regular Gasoline","Volkswagen","Golf III / GTI","Manual 5-spd",27,41,"Compact Cars",1993,NA
4,2,"Front-Wheel Drive",1900,"Regular Gasoline","Volkswagen","Jetta III","Automatic 4-spd",23,36,"Compact Cars",1993,NA
8,5.2,"Rear-Wheel Drive",3050,"Regular Gasoline","Dodge","B150/B250 Wagon 2WD","Automatic 3-spd",14.4444,21,"Vans",1985,NA
4,2,"Front-Wheel Drive",1700,"Regular Gasoline","Volkswagen","Jetta III","Manual 5-spd",25,39,"Compact Cars",1993,NA
4,2.3,"Rear-Wheel Drive",1950,"Regular Gasoline","Volvo","240","Automatic 4-spd",22,32.0513,"Compact Cars",1993,NA
4,2.3,"Rear-Wheel Drive",1900,"Regular Gasoline","Volvo","240","Manual 5-spd",23.3333,36,"Compact Cars",1993,NA
6,2.8,"Front-Wheel Drive",2500,"Premium Gasoline","Audi","100","Automatic 4-spd",21,31,"Midsize Cars",1993,NA
6,2.8,"Front-Wheel Drive",2500,"Premium Gasoline","Audi","100","Manual 5-spd",21,33.3333,"Midsize Cars",1993,NA
8,4,"Rear-Wheel Drive",2950,"Premium Gasoline","BMW","740i","Automatic 5-spd",17.7778,28,"Midsize Cars",1993,TRUE
8,4,"Rear-Wheel Drive",2950,"Premium Gasoline","BMW","740il","Automatic 5-spd",17,28,"Midsize Cars",1993,TRUE
12,5,"Rear-Wheel Drive",3050,"Regular Gasoline","BMW","750il","Automatic 4-spd",13.3333,23,"Midsize Cars",1993,TRUE
4,2.2,"Front-Wheel Drive",1700,"Regular Gasoline","Buick","Century","Automatic 3-spd",26,39.7436,"Midsize Cars",1993,NA
6,3.3,"Front-Wheel Drive",2100,"Regular Gasoline","Buick","Century","Automatic 3-spd",21.1111,33,"Midsize Cars",1993,NA
8,5.2,"Rear-Wheel Drive",3050,"Regular Gasoline","Dodge","B150/B250 Wagon 2WD","Manual 4-spd",14,23,"Vans",1985,NA
6,3.3,"Front-Wheel Drive",1900,"Regular Gasoline","Buick","Century","Automatic 4-spd",22,37,"Midsize Cars",1993,NA
6,3.1,"Front-Wheel Drive",1950,"Regular Gasoline","Buick","Regal","Automatic 3-spd",21,35,"Midsize Cars",1993,NA
6,3.1,"Front-Wheel Drive",1950,"Regular Gasoline","Buick","Regal","Automatic 4-spd",21,38,"Midsize Cars",1993,NA
6,3.8,"Front-Wheel Drive",1950,"Regular Gasoline","Buick","Regal","Automatic 4-spd",21,36,"Midsize Cars",1993,NA
6,3.8,"Front-Wheel Drive",1950,"Regular Gasoline","Buick","Riviera","Automatic 4-spd",21,35,"Midsize Cars",1993,NA
8,4.6,"Front-Wheel Drive",2600,"Premium Gasoline","Cadillac","Eldorado","Automatic 4-spd",18,32,"Midsize Cars",1993,NA
8,4.9,"Front-Wheel Drive",2800,"Premium Gasoline","Cadillac","Eldorado","Automatic 4-spd",18,32,"Midsize Cars",1993,NA
8,4.6,"Front-Wheel Drive",2600,"Premium Gasoline","Cadillac","Seville","Automatic 4-spd",18,32,"Midsize Cars",1993,NA
8,4.9,"Front-Wheel Drive",2800,"Premium Gasoline","Cadillac","Seville","Automatic 4-spd",18,32,"Midsize Cars",1993,NA
4,2.2,"Front-Wheel Drive",1900,"Regular Gasoline","Chevrolet","Lumina","Automatic 3-spd",23,37,"Midsize Cars",1993,NA
8,5.2,"Rear-Wheel Drive",3050,"Regular Gasoline","Dodge","B150/B250 Wagon 2WD","Manual 4-spd",13,23.0769,"Vans",1985,NA
6,3.1,"Front-Wheel Drive",1950,"Regular Gasoline","Chevrolet","Lumina","Automatic 3-spd",21,35,"Midsize Cars",1993,NA
6,3.1,"Front-Wheel Drive",1950,"Regular Gasoline","Chevrolet","Lumina","Automatic 4-spd",21,38,"Midsize Cars",1993,NA
6,3.4,"Front-Wheel Drive",2200,"Regular Gasoline","Chevrolet","Lumina","Automatic 4-spd",19,33,"Midsize Cars",1993,NA
6,3.4,"Front-Wheel Drive",2200,"Regular Gasoline","Chevrolet","Lumina","Manual 5-spd",18.8889,34,"Midsize Cars",1993,NA
6,3.3,"Front-Wheel Drive",1950,"Regular Gasoline","Chrysler","New Yorker","Automatic 4-spd",22,33.3333,"Midsize Cars",1993,NA
6,3,"Front-Wheel Drive",3150,"Premium Gasoline","CX Automotive","XM v6","Manual 5-spd",16,26,"Midsize Cars",1993,TRUE
6,3,"Front-Wheel Drive",3150,"Premium Gasoline","CX Automotive","XM v6a","Automatic 4-spd",16,26,"Midsize Cars",1993,TRUE
6,3,"Front-Wheel Drive",2500,"Premium Gasoline","Nissan","Maxima","Automatic 4-spd",21,32,"Midsize Cars",1993,NA
6,3,"Front-Wheel Drive",2500,"Premium Gasoline","Nissan","Maxima","Automatic 4-spd",21,33,"Midsize Cars",1993,NA
6,3,"Front-Wheel Drive",2350,"Premium Gasoline","Nissan","Maxima","Manual 5-spd",23,33,"Midsize Cars",1993,NA
8,5.9,"Rear-Wheel Drive",3950,"Regular Gasoline","Dodge","B150/B250 Wagon 2WD","Automatic 3-spd",11,15,"Vans",1985,NA
4,2.5,"Front-Wheel Drive",1900,"Regular Gasoline","Dodge","Dynasty","Automatic 3-spd",23,34,"Midsize Cars",1993,NA
6,3,"Front-Wheel Drive",1900,"Regular Gasoline","Dodge","Dynasty","Automatic 4-spd",23,36,"Midsize Cars",1993,NA
6,3.3,"Front-Wheel Drive",1950,"Regular Gasoline","Dodge","Dynasty","Automatic 4-spd",22,33.3333,"Midsize Cars",1993,NA
4,2.5,"Front-Wheel Drive",1900,"Regular Gasoline","Dodge","Spirit","Automatic 3-spd",24,34,"Midsize Cars",1993,NA
4,2.5,"Front-Wheel Drive",1700,"Regular Gasoline","Dodge","Spirit","Automatic 3-spd",26,36,"Midsize Cars",1993,NA
4,2.5,"Front-Wheel Drive",1600,"Regular Gasoline","Dodge","Spirit","Manual 5-spd",28,41,"Midsize Cars",1993,NA
