Date,CodeIn,CodeOut,Rate
20170505,USD,USD,1
20170505,USD,JPY,112.4806131
20170505,USD,BGN,1.784326248
20170505,USD,CZK,24.43298969
20170505,USD,DKK,6.784873643
20170505,USD,GBP,0.772830946
20170505,USD,HUF,284.162029
20170505,USD,PLN,3.847550406
20170505,USD,RON,4.148344129
20170505,USD,SEK,8.837241128
20170505,USD,CHF,0.988869629
20170505,USD,NOK,8.669190767
20170505,USD,HRK,6.781315573
20170505,USD,RUB,58.53480522
20170505,USD,TRY,3.562996077
20170505,USD,AUD,1.353161208
20170505,USD,BRL,3.18556701
20170505,USD,CAD,1.377064136
20170505,USD,CNY,6.902198704
20170505,USD,HKD,7.783231457
20170505,USD,IDR,13329.99726
20170505,USD,INR,64.37825016
20170505,USD,KRW,1141.437825
20170505,USD,MXN,19.05610802
20170505,USD,MYR,4.337469209
20170505,USD,NZD,1.451601131
20170505,USD,PHP,49.97901651
20170505,USD,SGD,1.405163762
20170505,USD,THB,34.71033665
20170505,USD,ZAR,13.58434449
20170505,USD,ILS,3.603777028
20170504,USD,USD,1
20170504,USD,JPY,112.8489064
20170504,USD,BGN,1.789878283
20170504,USD,CZK,24.49620207
20170504,USD,DKK,6.805619109
20170504,USD,GBP,0.775738995
20170504,USD,HUF,285.5770111
20170504,USD,PLN,3.8534822
20170504,USD,RON,4.16033678
20170504,USD,SEK,8.825661206
20170504,USD,CHF,0.99231262
20170504,USD,NOK,8.676031848
20170504,USD,HRK,6.817058662
20170504,USD,RUB,57.96906745
20170504,USD,TRY,3.560904182
20170504,USD,AUD,1.351972179
20170504,USD,BRL,3.186785028
20170504,USD,CAD,1.373661572
20170504,USD,CNY,6.895762789
20170504,USD,HKD,7.782556969
20170504,USD,IDR,13327.50069
20170504,USD,INR,64.18596138
20170504,USD,KRW,1135.874439
20170504,USD,MXN,18.97922577
20170504,USD,MYR,4.327537293
20170504,USD,NZD,1.457399103
20170504,USD,PHP,49.95332662
20170504,USD,SGD,1.399560721
20170504,USD,THB,34.62981605
20170504,USD,ZAR,13.54360758
20170504,USD,ILS,3.61910863
20170503,USD,USD,1
20170503,USD,JPY,112.1622859
20170503,USD,BGN,1.791189669
20170503,USD,CZK,24.60939647
20170503,USD,DKK,6.811246451
20170503,USD,GBP,0.773330891
20170503,USD,HUF,285.8778276
20170503,USD,PLN,3.838538328
20170503,USD,RON,4.165674512
20170503,USD,SEK,8.81701621
20170503,USD,CHF,0.990200568
20170503,USD,NOK,8.59767378
20170503,USD,HRK,6.822328052
20170503,USD,RUB,57.2821687
20170503,USD,TRY,3.535397014
20170503,USD,AUD,1.338492536
20170503,USD,BRL,3.152669658
20170503,USD,CAD,1.37283634
20170503,USD,CNY,6.893213664
20170503,USD,HKD,7.781573404
20170503,USD,IDR,13305.50417
20170503,USD,INR,64.15788992
20170503,USD,KRW,1131.532192
20170503,USD,MXN,18.80804103
20170503,USD,MYR,4.318985255
20170503,USD,NZD,1.444088286
20170503,USD,PHP,49.98900998
20170503,USD,SGD,1.394724792
20170503,USD,THB,34.48484293
20170503,USD,ZAR,13.3464603
20170503,USD,ILS,3.617089477
20170502,USD,USD,1
20170502,USD,JPY,112.2766835
20170502,USD,BGN,1.791846083
20170502,USD,CZK,24.63857077
20170502,USD,DKK,6.813559322
20170502,USD,GBP,0.774347229
20170502,USD,HUF,286.0284013
20170502,USD,PLN,3.855978012
20170502,USD,RON,4.16811727
20170502,USD,SEK,8.821804856
20170502,USD,CHF,0.994228126
20170502,USD,NOK,8.591846083
20170502,USD,HRK,6.83188273
20170502,USD,RUB,57.01328447
20170502,USD,TRY,3.538341732
20170502,USD,AUD,1.330096198
20170502,USD,BRL,3.168575355
20170502,USD,CAD,1.367659185
20170502,USD,CNY,6.895373339
20170502,USD,HKD,7.781676592
20170502,USD,IDR,13311.49794
20170502,USD,INR,64.22583601
20170502,USD,KRW,1130.233623
20170502,USD,MXN,18.7419148
20170502,USD,MYR,4.327989006
20170502,USD,NZD,1.445900137
20170502,USD,PHP,50.00183234
20170502,USD,SGD,1.394594595
20170502,USD,THB,34.50022904
20170502,USD,ZAR,13.27402657
20170502,USD,ILS,3.609436555
20170428,USD,USD,1
20170428,USD,JPY,111.399817
20170428,USD,BGN,1.789387008
20170428,USD,CZK,24.63129003
20170428,USD,DKK,6.805397987
20170428,USD,GBP,0.772854529
20170428,USD,HUF,285.8005489
20170428,USD,PLN,3.863129003
20170428,USD,RON,4.14894785
20170428,USD,SEK,8.812259835
20170428,USD,CHF,0.99094236
20170428,USD,NOK,8.530924062
20170428,USD,HRK,6.828911253
20170428,USD,RUB,56.82168344
20170428,USD,TRY,3.545837145
20170428,USD,AUD,1.338426349
20170428,USD,BRL,3.176395242
20170428,USD,CAD,1.364501372
20170428,USD,CNY,6.895425435
20170428,USD,HKD,7.777127173
20170428,USD,IDR,13329.00274
20170428,USD,INR,64.2831656
20170428,USD,KRW,1137.868253
20170428,USD,MXN,18.98444648
20170428,USD,MYR,4.340988106
20170428,USD,NZD,1.454437328
20170428,USD,PHP,50.10338518
20170428,USD,SGD,1.395974382
20170428,USD,THB,34.56999085
20170428,USD,ZAR,13.25699909
20170428,USD,ILS,3.621957914
20170427,USD,USD,1
20170427,USD,JPY,111.4511534
20170427,USD,BGN,1.797445088
20170427,USD,CZK,24.75599669
20170427,USD,DKK,6.836412094
20170427,USD,GBP,0.775847808
20170427,USD,HUF,286.7659223
20170427,USD,PLN,3.87979046
20170427,USD,RON,4.162117452
20170427,USD,SEK,8.84514291
20170427,USD,CHF,0.994393898
20170427,USD,NOK,8.580737065
20170427,USD,HRK,6.88172043
20170427,USD,RUB,57.05174157
20170427,USD,TRY,3.565573017
20170427,USD,AUD,1.339582759
20170427,USD,BRL,3.160279386
20170427,USD,CAD,1.358606746
20170427,USD,CNY,6.894954508
20170427,USD,HKD,7.781637717
20170427,USD,IDR,13313.99688
20170427,USD,INR,64.11726863
20170427,USD,KRW,1134.390221
20170427,USD,MXN,18.98860399
20170427,USD,MYR,4.348037864
20170427,USD,NZD,1.455013326
20170427,USD,PHP,50.14612628
20170427,USD,SGD,1.397389946
20170427,USD,THB,34.61997978
20170427,USD,ZAR,13.35915817
20170427,USD,ILS,3.643966547
20170426,USD,USD,1
20170426,USD,JPY,111.4018177
20170426,USD,BGN,1.795464978
20170426,USD,CZK,24.73790508
20170426,USD,DKK,6.829615349
20170426,USD,GBP,0.779427155
20170426,USD,HUF,286.3582117
20170426,USD,PLN,3.877811439
20170426,USD,RON,4.162122464
