Year,Quarter,Country,Company,Department,Cash,Accounts_Receivable,Doubtful_Accounts,Inventory,Temporary_Investment,Prepaid_Expenses,Long_Term_Investments,Land,Buildings,Depreciation_Buildings,Plant_Equipment,Depreciation_Plant_Equipment,Furniture_Fixtures,Depreciation_Furniture_Fixtures,Accounts_Payable,Short_Term_Notes,Current_Long_Term_Notes,Interest_Payable,Taxes_Payable,Accrued_Payroll,Mortgage,Other_Long_Term_Liabilities,Capital_Stock,Retained_Earnings
2000,1,Afghanistan,Vermeulen,D00095,689783.41,3339922.64,740506.65,5064000.72,77836.23,2064.37,70147079.36,92409142.74,567545772.35,537975389.10,221490.70,401538443.83,200556.28,148023.28,6040194.03,3390654.35,6370411.01,15016.91,5204037.22,6943887.88,7443024.17,8672102.24,841457753.00,44675.27
2000,1,Afghanistan,Krennwallner,D00984,742885.11,2344402.63,2092413.52,8251991.92,5359.81,2330.33,16528179.35,82731801.20,101495127.37,21981323.22,512561.70,8680589.05,865362.51,809536.15,2329580.92,2776525.67,3128977.38,97233.28,1309451.18,6452026.99,5817612.45,6885925.50,26764056.53,26294.68
2000,1,Afghanistan,Hillman,D00306,419779.69,6734307.37,4204886.20,3766730.09,49375.78,7009.50,60196341.31,28648695.85,952293113.40,40629613.99,748208.28,37155593.07,166941.11,14699.62,4440531.23,8475310.45,2168636.62,49574.94,6845012.80,7105066.31,775166.25,6371585.41,332934569.07,72366.59
2000,1,Afghanistan,Clark,D00567,554928.03,1556649.43,40900.01,2764724.24,97799.18,1459.61,91946097.10,9542201.58,567418518.60,523874223.85,115863.51,64514949.40,162473.70,68841.87,7480688.41,3341899.03,1427385.69,40379.01,8722720.33,5905329.49,3219678.75,1192002.63,639006519.29,42692.61
2000,1,Aland Islands,Vermeulen,D00910,883991.68,6888135.51,4591544.76,3699960.62,42799.12,3327.03,62922207.90,16529189.73,453970163.76,343163221.36,180168.84,33048773.03,554252.54,186808.08,5065834.54,9703615.67,8398681.33,84271.03,2569131.47,2941290.72,5577824.65,280064.34,861818794.13,22158.41
2000,1,Aland Islands,Krennwallner,D00910,857809.73,1604283.05,1229441.56,9834350.70,19026.50,673.73,21507169.26,16516457.28,993427178.54,882960245.95,942047.29,411698577.91,850093.79,192782.97,4584632.62,1586283.38,1325892.80,87009.15,5206373.97,5829810.11,4958344.87,3832218.49,974191430.18,1642.47
2000,1,Aland Islands,Hillman,D00186,66782.84,4838195.10,503913.74,7224743.98,93125.68,459.70,22659451.07,76214011.74,454580569.56,433870359.69,41759.74,212940324.22,915056.96,74480.85,9776098.54,6443232.37,1687955.29,56322.11,5554824.01,5361340.73,3131169.36,3484109.73,144525557.50,31945.71
2000,1,Aland Islands,Clark,D00721,568149.12,8505179.83,4022279.50,774619.19,33538.72,2127.81,71479430.97,73939159.85,714850528.81,90234086.21,199939.54,3394505.53,885247.20,859267.59,1691627.76,1147681.06,8814700.68,10340.45,7403845.39,8806876.06,4870376.67,8251672.04,897329778.47,95612.90
2000,1,Albania,Vermeulen,D00523,842181.43,7100031.01,548099.28,286511.29,78723.44,3868.03,76297980.94,51878826.08,204775134.16,62630648.63,341985.89,3256093.64,399070.81,110165.05,6795176.51,5644184.63,5728343.64,18640.06,8716609.95,259881.18,2615527.39,2713582.30,68201208.91,432.04
2000,1,Albania,Krennwallner,D00926,197895.25,4450861.53,2302637.23,737928.91,34428.71,7429.06,28623760.51,22634359.65,983739290.25,786425152.18,637114.34,542451911.45,245855.21,12633.73,2389601.52,9313551.07,4713131.18,40021.17,2454903.50,1922876.48,5676548.25,9730235.69,879168107.81,57173.79
2000,1,Albania,Hillman,D00593,649124.50,329734.65,57983.33,2518049.62,68972.05,1738.78,1842922.36,43658305.33,654066976.15,601144266.62,841807.36,593138225.47,450539.13,305353.45,6302405.85,4065503.23,1842083.82,98839.24,5805784.76,9614828.02,4521118.44,1440094.11,461427500.99,55424.35
2000,1,Albania,Clark,D00800,494794.21,5707397.34,5311563.07,9403956.53,71412.95,5888.78,48245752.82,12256380.50,436610724.12,300649061.73,599906.15,66122132.16,650245.34,347131.54,6141060.27,2061541.35,2195382.88,89758.52,8588811.81,3367616.28,4708015.79,3676539.28,248911766.60,7082.67
2000,1,Algeria,Vermeulen,D00964,146190.68,8218407.51,3979949.92,1205381.19,53716.06,5197.66,24633914.73,34726008.84,522932076.99,274783651.44,723922.01,11799273.04,107588.16,31953.01,470057.47,1999363.88,9984470.01,84635.67,1585369.27,6079157.25,9785306.32,6643636.19,95514852.92,60221.51
2000,1,Algeria,Krennwallner,D00788,75827.79,5921398.39,1499599.55,8499664.22,49451.86,4446.34,5098419.17,53685713.24,48704119.62,11110287.71,613984.10,7724305.81,159821.30,40131.08,6864361.87,4208639.38,5175909.00,13691.98,9407171.22,1088061.24,2934831.32,4947761.95,42787373.48,43746.05
2000,1,Algeria,Hillman,D00952,935186.04,1643904.16,230253.17,3750909.84,52812.48,5672.80,90242304.96,66222261.53,402166073.23,201228472.18,426841.90,91641068.74,95280.55,61653.13,6554452.63,7665025.24,4474444.19,55308.73,3672723.03,925838.34,3412059.49,3388266.31,992177745.45,63560.99
2000,1,Algeria,Clark,D00449,441768.02,6295736.68,2052256.50,4787372.32,40213.77,5623.28,1216646.53,2492642.97,199641804.58,185068135.03,208897.72,4290463.85,109542.80,448.99,3590929.14,6640300.71,4401018.14,63508.86,6889236.53,7289123.86,7275558.90,8837962.11,217532633.23,71029.73
2000,1,American Samoa,Vermeulen,D00502,68970.07,789419.73,106537.17,9578802.94,37376.35,4314.23,29115075.29,39486834.09,361390568.63,334005647.26,928329.58,185562392.26,150617.00,136800.33,5414236.39,9692497.84,8214411.38,4586.15,7377863.88,1505799.48,9298104.96,1491526.86,983015503.26,34137.96
2000,1,American Samoa,Krennwallner,D00138,472377.07,9201533.16,4399292.32,3444897.69,36285.08,5346.92,57264459.74,41576266.63,51285766.05,33741323.99,18109.45,33275179.99,519452.02,1810.03,752142.70,7236431.09,2292711.90,91761.49,5265481.90,4685224.25,6300181.03,5455693.87,27254926.59,6255.70
2000,1,American Samoa,Hillman,D00360,985226.86,1855063.91,1686481.99,9812303.62,84288.43,1346.20,7395342.75,19427267.16,66181922.40,9432573.09,421106.68,6324476.52,242533.32,160485.11,4972434.28,6610530.94,5029132.13,65935.08,1702670.21,3421453.40,3444377.01,5099083.66,998103574.62,97316.87
2000,1,American Samoa,Clark,D00860,201923.65,3559629.85,71711.57,5566627.63,50068.55,1347.82,51187729.96,78022270.28,846520228.82,65806678.27,260747.14,53413712.59,737178.36,358825.02,9615883.92,2979184.85,4508134.55,36276.95,6449900.16,6285583.02,3747923.12,6778948.05,313694777.90,31005.54
2000,1,Andorra,Vermeulen,D00395,612053.18,9180672.02,3637893.56,9596901.08,92948.11,3935.37,67202599.22,5650068.83,988034507.93,263839061.58,422495.63,237353249.56,666015.60,485300.56,6334383.53,3646624.00,1573855.02,4156.26,8407168.83,6398757.38,2555778.83,5268251.34,532055421.69,47129.73
2000,1,Andorra,Krennwallner,D00935,165216.58,2587569.89,2386892.00,4778639.35,21005.77,3378.76,64212993.27,63976700.35,608155835.01,567961232.74,454746.27,51147014.16,578393.17,128588.63,4362535.61,2747802.32,1385029.05,92600.19,7060155.53,771149.42,651868.10,6897181.09,439987014.57,36644.45
